alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam
ALM-10268,2026-05-14T01:14:43,OBM,ao-006-mobile,mobile-bff,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 95 saniye",dc2,rack-A,prod
ALM-10259,2026-05-14T01:15:46,Zabbix,ao-022-charging,charging-service,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 82 dolu",dc2,rack-B,prod
ALM-10250,2026-05-14T01:15:50,SyslogNG,ao-051-report,report-batch,2,network_flap,Arayuz eth0 link durumu 39 kez degisti,dc1,rack-A,prod
ALM-10281,2026-05-14T01:16:42,SyslogNG,ao-046-dns,dns-resolver,1,ntp_drift,Saat sapmasi 788 ms,dc2,rack-B,prod
ALM-10272,2026-05-14T01:16:46,Zabbix,ao-048-batch,batch-scheduler,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 86 dolu",dc2,rack-A,prod
ALM-10247,2026-05-14T01:17:11,OBM,ao-054-payment,payment-provider-gw,1,cert_expiry,Sertifika 45 gun icinde suresi dolacak,dc2,rack-A,prod
ALM-10275,2026-05-14T01:17:35,Zabbix,ao-021-charging,charging-service,1,backup_warn,Yedekleme 50 dakika gecikmeli,dc1,rack-A,prod
ALM-10261,2026-05-14T01:17:58,AppDynamics,ao-028-order,order-service,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 76 dolu",dc2,rack-B,prod
ALM-10001,2026-05-14T01:18:08,Prometheus,ao-002-api,api-gateway,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10265,2026-05-14T01:18:10,AppDynamics,ao-036-billing,billing-db,1,ntp_drift,Saat sapmasi 944 ms,dc2,rack-A,prod
ALM-10249,2026-05-14T01:18:15,Zabbix,ao-041-object,object-store,2,network_flap,Arayuz eth0 link durumu 62 kez degisti,dc1,rack-C,prod
ALM-10002,2026-05-14T01:18:22,SyslogNG,ao-008-web,web-bff,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10266,2026-05-14T01:18:29,SyslogNG,ao-051-report,report-batch,2,backup_warn,Yedekleme 54 dakika gecikmeli,dc1,rack-A,prod
ALM-10005,2026-05-14T01:18:30,Prometheus,ao-026-payment,payment-service,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10004,2026-05-14T01:18:32,SyslogNG,ao-020-billing,billing-service,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10008,2026-05-14T01:18:32,OBM,ao-038-cache,cache-cluster,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10019,2026-05-14T01:18:39,Zabbix,ao-020-billing,billing-service,3,pkt_loss,Paket kaybi yuzde 37,dc2,rack-C,prod
ALM-10006,2026-05-14T01:18:40,Prometheus,ao-032-subscriber,subscriber-db,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10020,2026-05-14T01:18:41,Zabbix,ao-026-payment,payment-service,3,pkt_loss,Paket kaybi yuzde 71,dc2,rack-C,prod
ALM-10013,2026-05-14T01:18:42,Prometheus,ao-008-web,web-bff,3,pkt_loss,Paket kaybi yuzde 77,dc2,rack-C,prod
ALM-10009,2026-05-14T01:18:53,Zabbix,ao-044-load,load-balancer,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10011,2026-05-14T01:18:56,SyslogNG,ao-002-api,api-gateway,4,pkt_loss,Paket kaybi yuzde 40,dc2,rack-C,prod
ALM-10255,2026-05-14T01:18:58,OBM,ao-004-mobile,mobile-bff,2,backup_warn,Yedekleme 43 dakika gecikmeli,dc2,rack-B,prod
ALM-10003,2026-05-14T01:18:59,OBM,ao-014-session,session-service,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10007,2026-05-14T01:18:59,Zabbix,ao-032-subscriber,subscriber-db,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod
ALM-10022,2026-05-14T01:19:00,SyslogNG,ao-032-subscriber,subscriber-db,3,pkt_loss,Paket kaybi yuzde 70,dc2,rack-C,prod
ALM-10024,2026-05-14T01:19:00,OBM,ao-038-cache,cache-cluster,4,pkt_loss,Paket kaybi yuzde 40,dc2,rack-C,prod
ALM-10232,2026-05-14T01:19:07,Prometheus,ao-008-web,web-bff,4,conn_refused,"load-balancer baglantisi reddedildi, connection refused",dc2,rack-C,prod
ALM-10017,2026-05-14T01:19:08,AppDynamics,ao-020-billing,billing-service,3,pkt_loss,Paket kaybi yuzde 45,dc2,rack-C,prod
ALM-10040,2026-05-14T01:19:12,OBM,ao-038-cache,cache-cluster,3,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc2,rack-C,prod
ALM-10016,2026-05-14T01:19:18,OBM,ao-014-session,session-service,4,pkt_loss,Paket kaybi yuzde 78,dc2,rack-C,prod
ALM-10276,2026-05-14T01:19:18,Prometheus,ao-023-charging,charging-service,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 87 dolu",dc1,rack-C,prod
ALM-10119,2026-05-14T01:19:24,SyslogNG,ao-018-billing,billing-service,5,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (210 ms),dc2,rack-A,prod
