alarm_id,timestamp,source_system,host,service,severity,alarm_type,message,veri_merkezi,kabin,ortam,incident_id
ALM-10268,2026-05-14T01:14:43,OBM,ao-006-mobile,mobile-bff,2,log_rotate,"Log rotasyonu beklenenden uzun surdu, 95 saniye",dc2,rack-A,prod,HIST-2026-001
ALM-10259,2026-05-14T01:15:46,Zabbix,ao-022-charging,charging-service,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 82 dolu",dc2,rack-B,prod,HIST-2026-001
ALM-10250,2026-05-14T01:15:50,SyslogNG,ao-051-report,report-batch,2,network_flap,Arayuz eth0 link durumu 39 kez degisti,dc1,rack-A,prod,HIST-2026-001
ALM-10281,2026-05-14T01:16:42,SyslogNG,ao-046-dns,dns-resolver,1,ntp_drift,Saat sapmasi 788 ms,dc2,rack-B,prod,HIST-2026-001
ALM-10272,2026-05-14T01:16:46,Zabbix,ao-048-batch,batch-scheduler,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 86 dolu",dc2,rack-A,prod,HIST-2026-001
ALM-10247,2026-05-14T01:17:11,OBM,ao-054-payment,payment-provider-gw,1,cert_expiry,Sertifika 45 gun icinde suresi dolacak,dc2,rack-A,prod,HIST-2026-001
ALM-10275,2026-05-14T01:17:35,Zabbix,ao-021-charging,charging-service,1,backup_warn,Yedekleme 50 dakika gecikmeli,dc1,rack-A,prod,HIST-2026-001
ALM-10261,2026-05-14T01:17:58,AppDynamics,ao-028-order,order-service,2,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 76 dolu",dc2,rack-B,prod,HIST-2026-001
ALM-10001,2026-05-14T01:18:08,Prometheus,ao-002-api,api-gateway,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10265,2026-05-14T01:18:10,AppDynamics,ao-036-billing,billing-db,1,ntp_drift,Saat sapmasi 944 ms,dc2,rack-A,prod,HIST-2026-001
ALM-10249,2026-05-14T01:18:15,Zabbix,ao-041-object,object-store,2,network_flap,Arayuz eth0 link durumu 62 kez degisti,dc1,rack-C,prod,HIST-2026-001
ALM-10002,2026-05-14T01:18:22,SyslogNG,ao-008-web,web-bff,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10266,2026-05-14T01:18:29,SyslogNG,ao-051-report,report-batch,2,backup_warn,Yedekleme 54 dakika gecikmeli,dc1,rack-A,prod,HIST-2026-001
ALM-10005,2026-05-14T01:18:30,Prometheus,ao-026-payment,payment-service,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10004,2026-05-14T01:18:32,SyslogNG,ao-020-billing,billing-service,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10008,2026-05-14T01:18:32,OBM,ao-038-cache,cache-cluster,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10019,2026-05-14T01:18:39,Zabbix,ao-020-billing,billing-service,3,pkt_loss,Paket kaybi yuzde 37,dc2,rack-C,prod,HIST-2026-001
ALM-10006,2026-05-14T01:18:40,Prometheus,ao-032-subscriber,subscriber-db,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10020,2026-05-14T01:18:41,Zabbix,ao-026-payment,payment-service,3,pkt_loss,Paket kaybi yuzde 71,dc2,rack-C,prod,HIST-2026-001
ALM-10013,2026-05-14T01:18:42,Prometheus,ao-008-web,web-bff,3,pkt_loss,Paket kaybi yuzde 77,dc2,rack-C,prod,HIST-2026-001
ALM-10009,2026-05-14T01:18:53,Zabbix,ao-044-load,load-balancer,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10011,2026-05-14T01:18:56,SyslogNG,ao-002-api,api-gateway,4,pkt_loss,Paket kaybi yuzde 40,dc2,rack-C,prod,HIST-2026-001
ALM-10255,2026-05-14T01:18:58,OBM,ao-004-mobile,mobile-bff,2,backup_warn,Yedekleme 43 dakika gecikmeli,dc2,rack-B,prod,HIST-2026-001
ALM-10003,2026-05-14T01:18:59,OBM,ao-014-session,session-service,4,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10007,2026-05-14T01:18:59,Zabbix,ao-032-subscriber,subscriber-db,5,network_down,Arayuz bond0 baglantisi koptu,dc2,rack-C,prod,HIST-2026-001
ALM-10022,2026-05-14T01:19:00,SyslogNG,ao-032-subscriber,subscriber-db,3,pkt_loss,Paket kaybi yuzde 70,dc2,rack-C,prod,HIST-2026-001
ALM-10024,2026-05-14T01:19:00,OBM,ao-038-cache,cache-cluster,4,pkt_loss,Paket kaybi yuzde 40,dc2,rack-C,prod,HIST-2026-001
ALM-10232,2026-05-14T01:19:07,Prometheus,ao-008-web,web-bff,4,conn_refused,"load-balancer baglantisi reddedildi, connection refused",dc2,rack-C,prod,HIST-2026-001
ALM-10017,2026-05-14T01:19:08,AppDynamics,ao-020-billing,billing-service,3,pkt_loss,Paket kaybi yuzde 45,dc2,rack-C,prod,HIST-2026-001
ALM-10040,2026-05-14T01:19:12,OBM,ao-038-cache,cache-cluster,3,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc2,rack-C,prod,HIST-2026-001
ALM-10016,2026-05-14T01:19:18,OBM,ao-014-session,session-service,4,pkt_loss,Paket kaybi yuzde 78,dc2,rack-C,prod,HIST-2026-001
ALM-10276,2026-05-14T01:19:18,Prometheus,ao-023-charging,charging-service,1,disk_warn,"Disk kullanimi uyari seviyesinde, yuzde 87 dolu",dc1,rack-C,prod,HIST-2026-001
ALM-10119,2026-05-14T01:19:24,SyslogNG,ao-018-billing,billing-service,5,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (210 ms),dc2,rack-A,prod,HIST-2026-001
ALM-10039,2026-05-14T01:19:26,SyslogNG,ao-014-session,session-service,5,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (176 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10167,2026-05-14T01:19:26,Zabbix,ao-038-cache,cache-cluster,5,http_5xx,HTTP 5xx hata orani yuzde 62 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10257,2026-05-14T01:19:27,Zabbix,ao-053-payment,payment-provider-gw,2,ntp_drift,Saat sapmasi 918 ms,dc1,rack-C,prod,HIST-2026-001
ALM-10096,2026-05-14T01:19:30,Prometheus,ao-013-session,session-service,3,thread_pool,Thread pool doluluk yuzde 87,dc1,rack-B,prod,HIST-2026-001
ALM-10166,2026-05-14T01:19:31,Prometheus,ao-042-load,load-balancer,3,latency_high,"Yanit suresi p99 esigi asti, 436 ms",dc2,rack-A,prod,HIST-2026-001
ALM-10018,2026-05-14T01:19:34,Zabbix,ao-020-billing,billing-service,3,pkt_loss,Paket kaybi yuzde 78,dc2,rack-C,prod,HIST-2026-001
ALM-10014,2026-05-14T01:19:39,OBM,ao-008-web,web-bff,3,pkt_loss,Paket kaybi yuzde 49,dc2,rack-C,prod,HIST-2026-001
ALM-10221,2026-05-14T01:19:51,Zabbix,ao-007-web,web-bff,3,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc1,rack-B,prod,HIST-2026-001
ALM-10100,2026-05-14T01:19:56,Prometheus,ao-014-session,session-service,5,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (208 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10150,2026-05-14T01:19:57,AppDynamics,ao-020-billing,billing-service,4,conn_refused,"subscriber-db baglantisi reddedildi, connection refused",dc2,rack-C,prod,HIST-2026-001
ALM-10235,2026-05-14T01:19:58,AppDynamics,ao-001-api,api-gateway,3,timeout,load-balancer servisine yapilan cagri zaman asimina ugradi (157 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10026,2026-05-14T01:20:03,AppDynamics,ao-050-reconciliation,reconciliation-batch,4,pkt_loss,Paket kaybi yuzde 73,dc2,rack-C,prod,HIST-2026-001
ALM-10055,2026-05-14T01:20:03,OBM,ao-033-subscriber,subscriber-db,5,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (130 ms),dc1,rack-A,prod,HIST-2026-001
ALM-10162,2026-05-14T01:20:06,Zabbix,ao-008-web,web-bff,3,http_5xx,HTTP 5xx hata orani yuzde 29 seviyesine cikti,dc2,rack-C,prod,HIST-2026-001
ALM-10228,2026-05-14T01:20:07,Zabbix,ao-043-load,load-balancer,4,thread_pool,Thread pool doluluk yuzde 90,dc1,rack-B,prod,HIST-2026-001
ALM-10236,2026-05-14T01:20:10,AppDynamics,ao-007-web,web-bff,4,latency_high,"Yanit suresi p99 esigi asti, 943 ms",dc1,rack-B,prod,HIST-2026-001
ALM-10151,2026-05-14T01:20:11,AppDynamics,ao-007-web,web-bff,4,http_5xx,HTTP 5xx hata orani yuzde 77 seviyesine cikti,dc1,rack-B,prod,HIST-2026-001
ALM-10056,2026-05-14T01:20:14,Prometheus,ao-003-api,api-gateway,5,http_5xx,HTTP 5xx hata orani yuzde 63 seviyesine cikti,dc1,rack-A,prod,HIST-2026-001
ALM-10128,2026-05-14T01:20:15,Zabbix,ao-037-cache,cache-cluster,5,timeout,dns-resolver servisine yapilan cagri zaman asimina ugradi (184 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10203,2026-05-14T01:20:20,Zabbix,ao-037-cache,cache-cluster,4,latency_high,"Yanit suresi p99 esigi asti, 341 ms",dc1,rack-B,prod,HIST-2026-001
ALM-10015,2026-05-14T01:20:21,Zabbix,ao-014-session,session-service,4,pkt_loss,Paket kaybi yuzde 45,dc2,rack-C,prod,HIST-2026-001
ALM-10215,2026-05-14T01:20:22,Prometheus,ao-007-web,web-bff,3,thread_pool,Thread pool doluluk yuzde 92,dc1,rack-B,prod,HIST-2026-001
ALM-10094,2026-05-14T01:20:31,SyslogNG,ao-012-session,session-service,4,latency_high,"Yanit suresi p99 esigi asti, 854 ms",dc2,rack-A,prod,HIST-2026-001
ALM-10021,2026-05-14T01:20:32,AppDynamics,ao-026-payment,payment-service,4,pkt_loss,Paket kaybi yuzde 76,dc2,rack-C,prod,HIST-2026-001
ALM-10034,2026-05-14T01:20:32,AppDynamics,ao-014-session,session-service,5,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (110 ms),dc2,rack-C,prod,HIST-2026-001
ALM-10216,2026-05-14T01:20:37,OBM,ao-037-cache,cache-cluster,4,latency_high,"Yanit suresi p99 esigi asti, 554 ms",dc1,rack-B,prod,HIST-2026-001
ALM-10229,2026-05-14T01:20:38,SyslogNG,ao-007-web,web-bff,3,latency_high,"Yanit suresi p99 esigi asti, 645 ms",dc1,rack-B,prod,HIST-2026-001
ALM-10095,2026-05-14T01:20:40,Zabbix,ao-043-load,load-balancer,3,timeout,subscriber-db servisine yapilan cagri zaman asimina ugradi (175 ms),dc1,rack-B,prod,HIST-2026-001
ALM-10028,2026-05-14T01:20:42,Zabbix,ao-056-kyc,kyc-provider-gw,4,pkt_loss,Paket kaybi yuzde 76,dc2,rack-C,prod,HIST-2026-001
ALM-10222,2026-05-14T01:20:44,SyslogNG,ao-032-subscriber,subscriber-db,3,latency_high,"Yanit suresi p99 esigi asti, 298 ms",dc2,rack-C,prod,HIST-2026-001
ALM-10027,2026-05-14T01:20:46,OBM,ao-056-kyc,kyc-provider-gw,3,pkt_loss,Paket kaybi yuzde 78,dc2,rack-C,prod,HIST-2026-001
ALM-10156,2026-05-14T01:20:46,Prometheus,ao-042-load,load-balancer,3,thread_pool,Thread pool doluluk yuzde 96,dc2,rack-A,prod,HIST-2026-001
ALM-10074,2026-05-14T01:20:50,SyslogNG,ao-014-session,session-service,4,latency_high,"Yanit suresi p99 esigi asti, 862 ms",dc2,rack-C,prod,HIST-2026-001
